Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim,2007,C,30,SAC,80,45,25.2,3.9,8.2,0.474,0,0.3,0.15,3.8,7.9,0.484,0.476,2.1,2.9,0.726,1.5,3.5,5,1.4,0.7,0.5,1.5,3,9.9
Hassan Adams,2007,SG,22,NJN,61,8,8.1,1.2,2.2,0.556,0,0,0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9
Maurice Ager,2007,SG,22,DAL,32,1,6.7,0.7,2.2,0.314,0.2,0.5,0.333,0.5,1.7,0.309,0.35,0.6,1,0.606,0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2
LaMarcus Aldridge,2007,C,21,POR,63,22,22.1,3.8,7.6,0.503,0,0,0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5,0.4,0.3,1.2,0.7,3,9
Malik Allen,2007,PF,28,CHI,60,1,10.6,1.8,4.3,0.415,0,0,0,1.8,4.3,0.416,0.415,0.5,0.6,0.824,0.7,1.3,2,0.3,0.3,0.3,0.4,1.4,4
Ray Allen*,2007,SG,31,SEA,55,55,40.3,9.2,21,0.438,3,8.1,0.372,6.2,12.9,0.479,0.51,5.1,5.6,0.903,1,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4
Tony Allen,2007,SG,25,BOS,33,18,24.4,4,7.8,0.514,0.2,1,0.242,3.8,6.8,0.553,0.529,3.2,4.1,0.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,11.5
Rafer Alston,2007,PG,30,HOU,82,82,37.1,4.7,12.4,0.375,2.3,6.5,0.363,2.3,6,0.389,0.47,1.6,2.2,0.734,0.4,3.1,3.4,5.4,1.6,0.1,2.1,2.4,13.3
Lou Amundson,2007,PF,24,TOT,11,0,8.1,0.5,1.4,0.4,0,0,,0.5,1.4,0.4,0.4,0.4,0.9,0.4,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5
Lou Amundson,2007,PF,24,UTA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Lou Amundson,2007,PF,24,PHI,10,0,8.7,0.6,1.5,0.4,0,0,,0.6,1.5,0.4,0.4,0.4,1,0.4,1.3,1.5,2.8,0.1,0.1,0.8,0.5,1.5,1.6
Alan Anderson,2007,SG,24,CHA,17,0,15.1,2.2,4.8,0.457,0.3,1.2,0.25,1.9,3.6,0.525,0.488,1.1,1.4,0.826,0.6,1.2,1.9,1.2,0.4,0,1.3,1.9,5.8
Derek Anderson,2007,SF,32,CHA,50,32,23.8,2.5,5.9,0.429,1.1,3,0.355,1.4,2.8,0.507,0.52,1.9,2.1,0.877,0.6,1.7,2.3,2.7,1,0.1,1.1,2.3,8
